189578 getPopulationofCountry French Guiana Zone:4 (turnaround time: 117 ms, execution time: 9 ms, waiting time: 89 ms, processed by Server 4)
48029 getPopulationofCountry Seychelles Zone:1 (turnaround time: 98 ms, execution time: 7 ms, waiting time: 85 ms, processed by Server 1)
31731367 getPopulationofCountry Canada Zone:1 (turnaround time: 90 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 1)
447039 getPopulationofCountry Equatorial Guinea Zone:2 (turnaround time: 96 ms, execution time: 5 ms, waiting time: 86 ms, processed by Server 2)
447039 getPopulationofCountry Equatorial Guinea Zone:2 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 2)
1070 getPopulationofCountry Tokelau Zone:4 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 84 ms, processed by Server 4)
276340 getPopulationofCountry Swaziland Zone:1 (turnaround time: 86 ms, execution time: 1 ms, waiting time: 82 ms, processed by Server 1)
276340 getPopulationofCountry Swaziland Zone:1 (turnaround time: 1 ms, execution time: 0 ms, waiting time: 0 ms, processed by client cache)
276340 getPopulationofCountry Swaziland Zone:1 (turnaround time: 86 ms, execution time: 1 ms, waiting time: 81 ms, processed by Server 1)
30376 getPopulationofCountry Palau Zone:4 (turnaround time: 88 ms, execution time: 2 ms, waiting time: 83 ms, processed by Server 4)
3645095 getPopulationofCountry Uganda Zone:4 (turnaround time: 87 ms, execution time: 1 ms, waiting time: 82 ms, processed by Server 4)
3645095 getPopulationofCountry Uganda Zone:4 (turnaround time: 90 ms, execution time: 1 ms, waiting time: 86 ms, processed by Server 4)
7571439 getPopulationofCountry Kenya Zone:2 (turnaround time: 90 ms, execution time: 2 ms, waiting time: 85 ms, processed by Server 2)
1680347 getPopulationofCountry Chad Zone:4 (turnaround time: 84 ms, execution time: 0 ms, waiting time: 81 ms, processed by Server 4)
6340891 getPopulationofCountry Guatemala Zone:3 (turnaround time: 91 ms, execution time: 1 ms, waiting time: 86 ms, processed by Server 3)
32847337 getPopulationofCountry Ukraine Zone:4 (turnaround time: 89 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 4)
32847337 getPopulationofCountry Ukraine Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by client cache)
32847337 getPopulationofCountry Ukraine Zone:4 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 4)
32847337 getPopulationofCountry Ukraine Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by client cache)
1070 getPopulationofCountry Tokelau Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by client cache)
3988332 getPopulationofCountry Paraguay Zone:4 (turnaround time: 91 ms, execution time: 0 ms, waiting time: 86 ms, processed by Server 4)
6340891 getPopulationofCountry Guatemala Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by client cache)
233433 getPopulationofCountry Bhutan Zone:1 (turnaround time: 85 ms, execution time: 1 ms, waiting time: 82 ms, processed by Server 1)
6340891 getPopulationofCountry Guatemala Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by client cache)
