48029 getPopulationofCountry Seychelles Zone:1 (turnaround time: 176 ms, execution time: 65 ms, waiting time: 96 ms, processed by Server 1)
447039 getPopulationofCountry Equatorial Guinea Zone:2 (turnaround time: 107 ms, execution time: 0 ms, waiting time: 102 ms, processed by Server 2)
447039 getPopulationofCountry Equatorial Guinea Zone:2 (turnaround time: 132 ms, execution time: 39 ms, waiting time: 85 ms, processed by Server 2)
189578 getPopulationofCountry French Guiana Zone:4 (turnaround time: 197 ms, execution time: 64 ms, waiting time: 96 ms, processed by Server 4)
1070 getPopulationofCountry Tokelau Zone:4 (turnaround time: 92 ms, execution time: 1 ms, waiting time: 86 ms, processed by Server 4)
31731367 getPopulationofCountry Canada Zone:1 (turnaround time: 157 ms, execution time: 3 ms, waiting time: 149 ms, processed by Server 1)
276340 getPopulationofCountry Swaziland Zone:1 (turnaround time: 93 ms, execution time: 2 ms, waiting time: 81 ms, processed by Server 1)
276340 getPopulationofCountry Swaziland Zone:1 (turnaround time: 94 ms, execution time: 0 ms, waiting time: 84 ms, processed by Server 1)
276340 getPopulationofCountry Swaziland Zone:1 (turnaround time: 93 ms, execution time: 0 ms, waiting time: 84 ms, processed by Server 1)
30376 getPopulationofCountry Palau Zone:4 (turnaround time: 99 ms, execution time: 2 ms, waiting time: 93 ms, processed by Server 4)
3645095 getPopulationofCountry Uganda Zone:4 (turnaround time: 90 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 4)
3645095 getPopulationofCountry Uganda Zone:4 (turnaround time: 91 ms, execution time: 0 ms, waiting time: 85 ms, processed by Server 4)
7571439 getPopulationofCountry Kenya Zone:2 (turnaround time: 91 ms, execution time: 1 ms, waiting time: 84 ms, processed by Server 2)
1680347 getPopulationofCountry Chad Zone:4 (turnaround time: 93 ms, execution time: 0 ms, waiting time: 85 ms, processed by Server 4)
6340891 getPopulationofCountry Guatemala Zone:3 (turnaround time: 103 ms, execution time: 7 ms, waiting time: 85 ms, processed by Server 3)
32847337 getPopulationofCountry Ukraine Zone:4 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 83 ms, processed by Server 4)
32847337 getPopulationofCountry Ukraine Zone:4 (turnaround time: 87 ms, execution time: 0 ms, waiting time: 82 ms, processed by Server 4)
32847337 getPopulationofCountry Ukraine Zone:4 (turnaround time: 89 ms, execution time: 0 ms, waiting time: 85 ms, processed by Server 4)
32847337 getPopulationofCountry Ukraine Zone:4 (turnaround time: 85 ms, execution time: 0 ms, waiting time: 81 ms, processed by Server 4)
3988332 getPopulationofCountry Paraguay Zone:4 (turnaround time: 89 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 4)
1070 getPopulationofCountry Tokelau Zone:4 (turnaround time: 85 ms, execution time: 0 ms, waiting time: 82 ms, processed by Server 4)
233433 getPopulationofCountry Bhutan Zone:1 (turnaround time: 84 ms, execution time: 1 ms, waiting time: 81 ms, processed by Server 1)
6340891 getPopulationofCountry Guatemala Zone:2 (turnaround time: 90 ms, execution time: 1 ms, waiting time: 86 ms, processed by Server 2)
6340891 getPopulationofCountry Guatemala Zone:2 (turnaround time: 85 ms, execution time: 0 ms, waiting time: 82 ms, processed by Server 2)
361020 getPopulationofCountry Comoros Zone:4 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 84 ms, processed by Server 4)
3328228 getPopulationofCountry Honduras Zone:2 (turnaround time: 89 ms, execution time: 1 ms, waiting time: 84 ms, processed by Server 2)
3328228 getPopulationofCountry Honduras Zone:2 (turnaround time: 84 ms, execution time: 0 ms, waiting time: 80 ms, processed by Server 2)
3328228 getPopulationofCountry Honduras Zone:2 (turnaround time: 86 ms, execution time: 0 ms, waiting time: 84 ms, processed by Server 2)
134594036 getPopulationofCountry Brazil Zone:3 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 3)
21079844 getPopulationofCountry Peru Zone:5 (turnaround time: 99 ms, execution time: 13 ms, waiting time: 82 ms, processed by Server 5)
21079844 getPopulationofCountry Peru Zone:5 (turnaround time: 88 ms, execution time: 0 ms, waiting time: 85 ms, processed by Server 5)
1907246 getPopulationofCountry Tajikistan Zone:3 (turnaround time: 85 ms, execution time: 1 ms, waiting time: 82 ms, processed by Server 3)
29145131 getPopulationofCountry Poland Zone:4 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 4)
1565638 getPopulationofCountry Togo Zone:5 (turnaround time: 90 ms, execution time: 2 ms, waiting time: 85 ms, processed by Server 5)
21079844 getPopulationofCountry Peru Zone:2 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 2)
21079844 getPopulationofCountry Peru Zone:2 (turnaround time: 86 ms, execution time: 0 ms, waiting time: 84 ms, processed by Server 2)
21079844 getPopulationofCountry Peru Zone:2 (turnaround time: 82 ms, execution time: 0 ms, waiting time: 80 ms, processed by Server 2)
21079844 getPopulationofCountry Peru Zone:2 (turnaround time: 85 ms, execution time: 0 ms, waiting time: 82 ms, processed by Server 2)
369776 getPopulationofCountry Guyana Zone:2 (turnaround time: 85 ms, execution time: 1 ms, waiting time: 81 ms, processed by Server 2)
374575 getPopulationofCountry Guadeloupe Zone:5 (turnaround time: 90 ms, execution time: 2 ms, waiting time: 86 ms, processed by Server 5)
374575 getPopulationofCountry Guadeloupe Zone:3 (turnaround time: 93 ms, execution time: 6 ms, waiting time: 82 ms, processed by Server 3)
3989252 getPopulationofCountry Nepal Zone:4 (turnaround time: 108 ms, execution time: 10 ms, waiting time: 83 ms, processed by Server 4)
3989252 getPopulationofCountry Nepal Zone:4 (turnaround time: 101 ms, execution time: 2 ms, waiting time: 92 ms, processed by Server 4)
100848918 getPopulationofCountry Japan Zone:3 (turnaround time: 93 ms, execution time: 5 ms, waiting time: 84 ms, processed by Server 3)
6340891 getPopulationofCountry Guatemala Zone:3 (turnaround time: 118 ms, execution time: 1 ms, waiting time: 102 ms, processed by Server 3)
6340891 getPopulationofCountry Guatemala Zone:3 (turnaround time: 131 ms, execution time: 0 ms, waiting time: 88 ms, processed by Server 3)
6340891 getPopulationofCountry Guatemala Zone:3 (turnaround time: 149 ms, execution time: 0 ms, waiting time: 83 ms, processed by Server 3)
1907246 getPopulationofCountry Tajikistan Zone:1 (turnaround time: 94 ms, execution time: 2 ms, waiting time: 86 ms, processed by Server 1)
15411242 getPopulationofCountry Belgium Zone:5 (turnaround time: 91 ms, execution time: 3 ms, waiting time: 84 ms, processed by Server 5)
15411242 getPopulationofCountry Belgium Zone:5 (turnaround time: 92 ms, execution time: 1 ms, waiting time: 80 ms, processed by Server 5)
15411242 getPopulationofCountry Belgium Zone:4 (turnaround time: 90 ms, execution time: 6 ms, waiting time: 80 ms, processed by Server 4)
21079844 getPopulationofCountry Peru Zone:5 (turnaround time: 87 ms, execution time: 0 ms, waiting time: 85 ms, processed by Server 5)
30376 getPopulationofCountry Palau Zone:3 (turnaround time: 86 ms, execution time: 2 ms, waiting time: 82 ms, processed by Server 3)
361020 getPopulationofCountry Comoros Zone:5 (turnaround time: 91 ms, execution time: 2 ms, waiting time: 85 ms, processed by Server 5)
361020 getPopulationofCountry Comoros Zone:5 (turnaround time: 83 ms, execution time: 0 ms, waiting time: 81 ms, processed by Server 5)
361020 getPopulationofCountry Comoros Zone:5 (turnaround time: 89 ms, execution time: 0 ms, waiting time: 86 ms, processed by Server 5)
361020 getPopulationofCountry Comoros Zone:5 (turnaround time: 85 ms, execution time: 0 ms, waiting time: 81 ms, processed by Server 5)
233433 getPopulationofCountry Bhutan Zone:1 (turnaround time: 84 ms, execution time: 0 ms, waiting time: 82 ms, processed by Server 1)
48029 getPopulationofCountry Seychelles Zone:1 (turnaround time: 86 ms, execution time: 0 ms, waiting time: 83 ms, processed by Server 1)
4803355 getPopulationofCountry Serbia Zone:2 (turnaround time: 89 ms, execution time: 4 ms, waiting time: 81 ms, processed by Server 2)
48029 getPopulationofCountry Seychelles Zone:4 (turnaround time: 93 ms, execution time: 1 ms, waiting time: 81 ms, processed by Server 4)
48029 getPopulationofCountry Seychelles Zone:4 (turnaround time: 85 ms, execution time: 0 ms, waiting time: 82 ms, processed by Server 4)
3328228 getPopulationofCountry Honduras Zone:1 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 1)
4803355 getPopulationofCountry Serbia Zone:5 (turnaround time: 89 ms, execution time: 5 ms, waiting time: 82 ms, processed by Server 5)
4803355 getPopulationofCountry Serbia Zone:5 (turnaround time: 88 ms, execution time: 0 ms, waiting time: 86 ms, processed by Server 5)
4803355 getPopulationofCountry Serbia Zone:5 (turnaround time: 88 ms, execution time: 0 ms, waiting time: 85 ms, processed by Server 5)
3328228 getPopulationofCountry Honduras Zone:2 (turnaround time: 85 ms, execution time: 0 ms, waiting time: 84 ms, processed by Server 2)
24859223 getPopulationofCountry Romania Zone:4 (turnaround time: 90 ms, execution time: 2 ms, waiting time: 86 ms, processed by Server 4)
24859223 getPopulationofCountry Romania Zone:4 (turnaround time: 87 ms, execution time: 0 ms, waiting time: 84 ms, processed by Server 4)
357957 getPopulationofCountry Bahamas Zone:4 (turnaround time: 86 ms, execution time: 0 ms, waiting time: 83 ms, processed by Server 4)
4722032 getPopulationofCountry Guinea Zone:1 (turnaround time: 87 ms, execution time: 1 ms, waiting time: 84 ms, processed by Server 1)
4896738 getPopulationofCountry Tunisia Zone:3 (turnaround time: 85 ms, execution time: 1 ms, waiting time: 81 ms, processed by Server 3)
21079844 getPopulationofCountry Peru Zone:1 (turnaround time: 87 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 1)
21079844 getPopulationofCountry Peru Zone:1 (turnaround time: 86 ms, execution time: 0 ms, waiting time: 84 ms, processed by Server 1)
21079844 getPopulationofCountry Peru Zone:1 (turnaround time: 89 ms, execution time: 0 ms, waiting time: 85 ms, processed by Server 1)
21079844 getPopulationofCountry Peru Zone:1 (turnaround time: 90 ms, execution time: 0 ms, waiting time: 86 ms, processed by Server 1)
1070 getPopulationofCountry Tokelau Zone:3 (turnaround time: 86 ms, execution time: 0 ms, waiting time: 83 ms, processed by Server 3)
189578 getPopulationofCountry French Guiana Zone:3 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 3)
266998322 getPopulationofCountry United States Zone:1 (turnaround time: 89 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 1)
53608445 getPopulationofCountry Pakistan Zone:1 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 1)
53608445 getPopulationofCountry Pakistan Zone:1 (turnaround time: 86 ms, execution time: 0 ms, waiting time: 84 ms, processed by Server 1)
1565638 getPopulationofCountry Togo Zone:4 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 4)
316458 getPopulationofCountry Suriname Zone:1 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 1)
316458 getPopulationofCountry Suriname Zone:1 (turnaround time: 86 ms, execution time: 0 ms, waiting time: 84 ms, processed by Server 1)
316458 getPopulationofCountry Suriname Zone:1 (turnaround time: 86 ms, execution time: 0 ms, waiting time: 84 ms, processed by Server 1)
276340 getPopulationofCountry Swaziland Zone:4 (turnaround time: 84 ms, execution time: 1 ms, waiting time: 81 ms, processed by Server 4)
316458 getPopulationofCountry Suriname Zone:5 (turnaround time: 85 ms, execution time: 2 ms, waiting time: 81 ms, processed by Server 5)
316458 getPopulationofCountry Suriname Zone:5 (turnaround time: 84 ms, execution time: 0 ms, waiting time: 82 ms, processed by Server 5)
134594036 getPopulationofCountry Brazil Zone:5 (turnaround time: 85 ms, execution time: 3 ms, waiting time: 81 ms, processed by Server 5)
233433 getPopulationofCountry Bhutan Zone:3 (turnaround time: 86 ms, execution time: 1 ms, waiting time: 84 ms, processed by Server 3)
16357414 getPopulationofCountry Thailand Zone:1 (turnaround time: 85 ms, execution time: 1 ms, waiting time: 82 ms, processed by Server 1)
7097388 getPopulationofCountry Belarus Zone:2 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 2)
