189578 getPopulationofCountry French Guiana Zone:4 (turnaround time: 145 ms, execution time: 12 ms, waiting time: 86 ms, processed by Server 4)
447039 getPopulationofCountry Equatorial Guinea Zone:2 (turnaround time: 97 ms, execution time: 4 ms, waiting time: 87 ms, processed by Server 2)
48029 getPopulationofCountry Seychelles Zone:1 (turnaround time: 125 ms, execution time: 1 ms, waiting time: 100 ms, processed by Server 1)
31731367 getPopulationofCountry Canada Zone:1 (turnaround time: 102 ms, execution time: 14 ms, waiting time: 85 ms, processed by Server 1)
447039 getPopulationofCountry Equatorial Guinea Zone:2 (turnaround time: 89 ms, execution time: 1 ms, waiting time: 86 ms, processed by Server 2)
1070 getPopulationofCountry Tokelau Zone:4 (turnaround time: 90 ms, execution time: 1 ms, waiting time: 86 ms, processed by Server 4)
276340 getPopulationofCountry Swaziland Zone:1 (turnaround time: 90 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 1)
276340 getPopulationofCountry Swaziland Zone:1 (turnaround time: 89 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 1)
276340 getPopulationofCountry Swaziland Zone:1 (turnaround time: 89 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 1)
30376 getPopulationofCountry Palau Zone:4 (turnaround time: 90 ms, execution time: 2 ms, waiting time: 85 ms, processed by Server 4)
3645095 getPopulationofCountry Uganda Zone:4 (turnaround time: 91 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 4)
3645095 getPopulationofCountry Uganda Zone:4 (turnaround time: 89 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 4)
7571439 getPopulationofCountry Kenya Zone:2 (turnaround time: 88 ms, execution time: 2 ms, waiting time: 83 ms, processed by Server 2)
1680347 getPopulationofCountry Chad Zone:4 (turnaround time: 85 ms, execution time: 0 ms, waiting time: 82 ms, processed by Server 4)
6340891 getPopulationofCountry Guatemala Zone:3 (turnaround time: 92 ms, execution time: 3 ms, waiting time: 85 ms, processed by Server 3)
32847337 getPopulationofCountry Ukraine Zone:4 (turnaround time: 87 ms, execution time: 1 ms, waiting time: 84 ms, processed by Server 4)
32847337 getPopulationofCountry Ukraine Zone:4 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 86 ms, processed by Server 4)
32847337 getPopulationofCountry Ukraine Zone:4 (turnaround time: 85 ms, execution time: 1 ms, waiting time: 82 ms, processed by Server 4)
32847337 getPopulationofCountry Ukraine Zone:4 (turnaround time: 89 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 4)
3988332 getPopulationofCountry Paraguay Zone:4 (turnaround time: 88 ms, execution time: 0 ms, waiting time: 86 ms, processed by Server 4)
1070 getPopulationofCountry Tokelau Zone:4 (turnaround time: 85 ms, execution time: 1 ms, waiting time: 82 ms, processed by Server 4)
233433 getPopulationofCountry Bhutan Zone:1 (turnaround time: 126 ms, execution time: 9 ms, waiting time: 87 ms, processed by Server 1)
6340891 getPopulationofCountry Guatemala Zone:2 (turnaround time: 112 ms, execution time: 2 ms, waiting time: 107 ms, processed by Server 2)
6340891 getPopulationofCountry Guatemala Zone:2 (turnaround time: 92 ms, execution time: 2 ms, waiting time: 88 ms, processed by Server 2)
361020 getPopulationofCountry Comoros Zone:4 (turnaround time: 151 ms, execution time: 3 ms, waiting time: 85 ms, processed by Server 4)
3328228 getPopulationofCountry Honduras Zone:2 (turnaround time: 91 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 2)
3328228 getPopulationofCountry Honduras Zone:2 (turnaround time: 95 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 2)
3328228 getPopulationofCountry Honduras Zone:2 (turnaround time: 89 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 2)
134594036 getPopulationofCountry Brazil Zone:3 (turnaround time: 86 ms, execution time: 2 ms, waiting time: 82 ms, processed by Server 3)
21079844 getPopulationofCountry Peru Zone:5 (turnaround time: 113 ms, execution time: 22 ms, waiting time: 86 ms, processed by Server 5)
21079844 getPopulationofCountry Peru Zone:5 (turnaround time: 91 ms, execution time: 3 ms, waiting time: 86 ms, processed by Server 5)
1907246 getPopulationofCountry Tajikistan Zone:3 (turnaround time: 84 ms, execution time: 1 ms, waiting time: 81 ms, processed by Server 3)
29145131 getPopulationofCountry Poland Zone:4 (turnaround time: 89 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 4)
1565638 getPopulationofCountry Togo Zone:5 (turnaround time: 86 ms, execution time: 3 ms, waiting time: 82 ms, processed by Server 5)
21079844 getPopulationofCountry Peru Zone:2 (turnaround time: 88 ms, execution time: 1 ms, waiting time: 85 ms, processed by Server 2)
21079844 getPopulationofCountry Peru Zone:2 (turnaround time: 83 ms, execution time: 1 ms, waiting time: 80 ms, processed by Server 2)
